Forma	Frecuencia	Frec. norm.
Secretaría	17453	35.43
europeos	17447	35.41
sentimientos	17436	35.39
tocar	17436	35.39
tuviera	17432	35.38
soluciones	17430	35.38
críticas	17430	35.38
municipios	17426	35.37
inversiones	17417	35.35
fundamentales	17415	35.35
500	17400	35.32
respectivamente	17380	35.28
decirle	17369	35.25
talento	17363	35.24
tratando	17362	35.24
descubrir	17349	35.21
Nosotros	17339	35.19
perfectamente	17333	35.18
propone	17332	35.18
sencillo	17328	35.17
malo	17318	35.15
ficción	17309	35.13
Ah	17303	35.12
pide	17293	35.1
consciente	17285	35.08
2017	17275	35.06
agencia	17272	35.06
colombiano	17271	35.06
policías	17259	35.03
igualdad	17255	35.02
procedimiento	17249	35.01
cientos	17245	35.0
claramente	17235	34.98
agenda	17234	34.98
adecuada	17225	34.96
Ramón	17224	34.96
especialistas	17210	34.93
creado	17199	34.91
repente	17187	34.89
escolar	17175	34.86
actriz	17169	34.85
afuera	17167	34.84
goles	17147	34.8
subir	17136	34.78
Quiero	17127	34.76
interpretación	17117	34.74
realización	17102	34.71
crimen	17098	34.7
máquina	17086	34.68
lógica	17077	34.66
campos	17070	34.65
D	17067	34.64
avances	17062	34.63
Washington	17061	34.63
índice	17058	34.62
1998	17052	34.61
tren	17048	34.6
XIX	17047	34.6
techo	17037	34.58
2019	17006	34.52
juventud	16980	34.47
nacido	16971	34.45
asistencia	16969	34.44
métodos	16962	34.43
rol	16952	34.41
independencia	16951	34.41
buscan	16915	34.33
Paraguay	16915	34.33
Hospital	16911	34.33
individual	16909	34.32
gira	16901	34.3
reales	16887	34.28
recientemente	16887	34.28
atender	16887	34.28
conflictos	16885	34.27
promover	16867	34.24
petróleo	16856	34.21
consulta	16856	34.21
reflexión	16849	34.2
representante	16834	34.17
Valencia	16831	34.16
acabó	16812	34.12
300	16797	34.09
bancos	16791	34.08
Carmen	16781	34.06
adecuado	16773	34.04
Festival	16773	34.04
sentencia	16769	34.04
suya	16761	34.02
ciudadanía	16761	34.02
temor	16750	34.0
nacimiento	16747	33.99
herramienta	16743	33.98
pasan	16740	33.98
límite	16736	33.97
educativo	16729	33.96
habíamos	16725	33.95
clásico	16705	33.91
rumbo	16701	33.9
transformación	16697	33.89
esencial	16694	33.88
dueño	16686	33.87
Comité	16681	33.86
salido	16666	33.83
consideran	16661	33.82
Japón	16661	33.82
querer	16656	33.81
individuo	16640	33.77
asociación	16635	33.76
publicación	16634	33.76
cercano	16624	33.74
estructuras	16624	33.74
perfecto	16622	33.74
S	16622	33.74
hogares	16610	33.71
anual	16604	33.7
plato	16602	33.7
Dirección	16602	33.7
denuncia	16587	33.67
cumplimiento	16586	33.67
éstos	16584	33.66
Administración	16580	33.65
dejan	16578	33.65
olvidar	16567	33.63
ánimo	16548	33.59
Departamento	16548	33.59
producen	16523	33.54
soledad	16523	33.54
añade	16520	33.53
cabe	16493	33.48
tienda	16490	33.47
emergencia	16484	33.46
ejecución	16474	33.44
comenzar	16471	33.43
canal	16465	33.42
Google	16455	33.4
industrial	16455	33.4
portavoz	16454	33.4
dulce	16454	33.4
interna	16441	33.37
tomando	16440	33.37
personalidad	16437	33.36
zapatos	16401	33.29
cooperación	16400	33.29
sabor	16373	33.23
prisión	16364	33.21
Víctor	16359	33.2
mierda	16353	33.19
institucional	16349	33.18
Muchos	16336	33.16
negros	16333	33.15
usuario	16329	33.14
integral	16323	33.13
árbol	16298	33.08
publicidad	16269	33.02
enfoque	16258	33.0
viejos	16257	33.0
llorar	16255	32.99
mía	16249	32.98
extranjero	16244	32.97
clasificación	16235	32.95
percepción	16232	32.95
creciente	16220	32.92
carreras	16213	32.91
derrota	16194	32.87
dificultad	16182	32.85
laboratorio	16166	32.81
conferencia	16158	32.8
emociones	16155	32.79
vías	16143	32.77
dieta	16125	32.73
enfrentar	16123	32.73
fotografías	16121	32.72
invierno	16113	32.71
edificios	16102	32.68
aplicaciones	16062	32.6
profunda	16061	32.6
viajar	16057	32.59
realizan	16054	32.59
sociedades	16053	32.58
Les	16052	32.58
ejército	16050	32.58
estábamos	16036	32.55
pregunté	16033	32.54
museo	16027	32.53
acompañado	16024	32.52
conducta	16024	32.52
grados	16011	32.5
desarrollado	16008	32.49
rápida	15998	32.47
resultó	15995	32.47
consiguió	15990	32.46
et	15979	32.43
ofrecen	15974	32.42
oscuridad	15966	32.41
Asamblea	15962	32.4
disponible	15957	32.39
letras	15951	32.38
bosque	15950	32.37
Sistema	15944	32.36
contestó	15942	32.36
millón	15940	32.35
muchacho	15929	32.33
definir	15925	32.32
mecanismo	15913	32.3
Lima	15909	32.29
vender	15895	32.26
Sergio	15881	32.23
dejaron	15878	32.23
raro	15875	32.22
explicación	15874	32.22
integrantes	15864	32.2
distinta	15861	32.19
significado	15849	32.17
celular	15838	32.15
necesarios	15835	32.14
producido	15831	32.13
45	15831	32.13
Ejército	15827	32.12
Caribe	15823	32.12
bolsa	15820	32.11
Escuela	15802	32.07
vacaciones	15782	32.03
lágrimas	15767	32.0
puerto	15765	32.0
vivido	15762	31.99
interesa	15755	31.98
sostiene	15741	31.95
muestras	15732	31.93
acercó	15730	31.93
toca	15729	31.93
médica	15727	31.92
rendimiento	15719	31.91
comparación	15712	31.89
Primero	15695	31.86
delitos	15692	31.85
mexicana	15681	31.83
bebé	15679	31.82
especialista	15678	31.82
sentí	15674	31.81
plantea	15665	31.8
pista	15659	31.78
permitir	15657	31.78
vuelo	15657	31.78
Ellos	15652	31.77
permitido	15646	31.76
interno	15643	31.75
Muy	15638	31.74
reuniones	15630	31.72
debió	15629	31.72
gritos	15627	31.72
alcanzó	15625	31.71
premios	15617	31.7
escritura	15613	31.69
diputados	15611	31.69
variedad	15608	31.68
gobernador	15604	31.67
capitán	15601	31.67
visitar	15588	31.64
García	15584	31.63
estadounidenses	15580	31.62
perros	15568	31.6
viviendas	15562	31.59
dimensión	15562	31.59
independiente	15556	31.57
italiano	15551	31.56
cuáles	15550	31.56
necesitaba	15543	31.55
serían	15542	31.55
UE	15529	31.52
quiera	15524	31.51
asegurar	15516	31.49
arena	15515	31.49
gana	15515	31.49
Juegos	15508	31.48
excelente	15468	31.4
famoso	15464	31.39
cobertura	15461	31.38
reconoció	15459	31.38
excepción	15447	31.35
demostrado	15444	31.35
crítico	15443	31.34
Raúl	15438	31.33
mediados	15436	31.33
filosofía	15400	31.26
sentimiento	15398	31.25
trabajan	15375	31.21
posterior	15356	31.17
Mira	15356	31.17
expectativas	15351	31.16
llegaba	15346	31.15
trayectoria	15339	31.13
comenzaron	15330	31.12
Naciones	15324	31.1
vueltas	15322	31.1
once	15320	31.1
posiciones	15317	31.09
reloj	15316	31.09
contiene	15305	31.06
cuadros	15299	31.05
E	15295	31.04
sostuvo	15280	31.01
pensado	15271	31.0
aplicar	15269	30.99
Tres	15268	30.99
Plaza	15267	30.99
municipal	15262	30.98
Cataluña	15256	30.97
riqueza	15226	30.9
video	15222	30.9
utilizan	15219	30.89
proteger	15208	30.87
extraña	15204	30.86
verse	15201	30.85
asumir	15188	30.83
componentes	15180	30.81
determinado	15178	30.81
cliente	15166	30.78
caliente	15165	30.78
Programa	15157	30.76
generaciones	15153	30.76
matar	15145	30.74
creía	15124	30.7
utilizado	15122	30.69
vaso	15121	30.69
Unidas	15116	30.68
aparte	15115	30.68
cero	15111	30.67
Tanto	15110	30.67
escritores	15105	30.66
conceptos	15102	30.65
daños	15098	30.64
hombros	15098	30.64
encargado	15097	30.64
turno	15092	30.63
demostrar	15090	30.63
innovación	15081	30.61
apunta	15071	30.59
notas	15063	30.57
visitantes	15060	30.57
logra	15056	30.56
motor	15055	30.56
Inglaterra	15039	30.52
poblaciones	15027	30.5
golpes	15021	30.49
teníamos	15016	30.48
estuvieron	15013	30.47
afectados	15009	30.46
localidad	15009	30.46
posee	15007	30.46
nariz	14999	30.44
raíz	14996	30.44
deberían	14996	30.44
inmediatamente	14996	30.44
potencia	14991	30.43
absoluta	14983	30.41
borde	14968	30.38
Casi	14968	30.38
funcionario	14964	30.37
ponen	14963	30.37
Todas	14942	30.33
Guillermo	14926	30.3
absoluto	14925	30.29
dedo	14925	30.29
haberse	14917	30.28
the	14916	30.28
iniciar	14913	30.27
norma	14912	30.27
adentro	14904	30.25
creen	14895	30.23
Panamá	14890	30.22
permita	14887	30.22
maestros	14875	30.19
agente	14874	30.19
Academia	14868	30.18
incluyen	14865	30.17
Popular	14851	30.14
reformas	14844	30.13
utilización	14843	30.13
firme	14839	30.12
realizada	14836	30.11
libres	14832	30.1
dedicado	14829	30.1
contaba	14827	30.09
elaboración	14826	30.09
reto	14823	30.09
cargos	14816	30.07
amistad	14806	30.05
útil	14805	30.05
dirigido	14804	30.05
mexicanos	14804	30.05
Poder	14802	30.04
loco	14789	30.02
alternativas	14788	30.02
curiosidad	14771	29.98
clínica	14770	29.98
Parlamento	14767	29.97
comentarios	14766	29.97
Isabel	14763	29.96
madres	14757	29.95
criterio	14746	29.93
Dónde	14745	29.93
absolutamente	14740	29.92
irse	14740	29.92
representan	14737	29.91
botella	14736	29.91
Hugo	14735	29.91
preciso	14731	29.9
competencias	14721	29.88
órdenes	14720	29.88
celebración	14715	29.87
conversaciones	14703	29.84
homenaje	14700	29.84
cena	14699	29.83
arma	14696	29.83
ponerse	14680	29.8
tabla	14667	29.77
quisiera	14664	29.76
descanso	14657	29.75
aprobación	14655	29.75
llevaron	14654	29.74
imaginación	14643	29.72
avanzar	14628	29.69
presidencial	14623	29.68
Historia	14622	29.68
despacho	14620	29.67
escribe	14620	29.67
Palacio	14614	29.66
negociación	14613	29.66
1997	14607	29.65
hubieran	14597	29.63
haría	14590	29.61
verlo	14588	29.61
destacar	14582	29.6
Roma	14579	29.59
ves	14579	29.59
África	14578	29.59
constitucional	14574	29.58
Río	14567	29.57
publicó	14566	29.56
universal	14546	29.52
aparato	14536	29.5
Nicaragua	14533	29.5
guía	14530	29.49
marcas	14527	29.49
contigo	14519	29.47
llamadas	14517	29.47
plástico	14506	29.44
Reino	14504	29.44
sesenta	14502	29.43
servir	14498	29.43
eh	14481	29.39
escucha	14471	29.37
intenta	14464	29.36
obtuvo	14454	29.34
cubano	14443	29.31
advirtió	14423	29.27
alcanza	14421	29.27
inferior	14419	29.27
lectores	14411	29.25
Hemos	14402	29.23
impulso	14399	29.23
m	14399	29.23
exceso	14397	29.22
profundidad	14396	29.22
comprobar	14394	29.22
dispositivos	14388	29.2
trato	14387	29.2
Sociedad	14382	29.19
división	14381	29.19
traje	14378	29.18
Martín	14377	29.18
montaña	14375	29.18
crecer	14374	29.17
pierde	14371	29.17
reconocido	14365	29.16
impuesto	14361	29.15
chicas	14355	29.14
huevos	14353	29.13
elegido	14350	29.13
conexión	14349	29.12
costumbre	14349	29.12
terminado	14347	29.12
dirige	14347	29.12
europeo	14344	29.11
Parece	14341	29.11
basura	14334	29.09
señalar	14332	29.09
ocupa	14329	29.08
ejemplos	14318	29.06
posteriormente	14317	29.06
rural	14316	29.06
defender	14309	29.04
caminos	14299	29.02
emocional	14298	29.02
Mejor	14283	28.99
www	14282	28.99
Honduras	14278	28.98
lanzó	14277	28.98
relacionadas	14276	28.98
habido	14275	28.97
ataques	14274	28.97
danza	14272	28.97
Ciencias	14265	28.95
fracaso	14259	28.94
caballo	14250	28.92
revisión	14244	28.91
recientes	14241	28.9
andar	14241	28.9
conocidos	14236	28.89
cerveza	14234	28.89
pudieron	14229	28.88
López	14224	28.87
entiendo	14222	28.87
intercambio	14222	28.87
consumidores	14219	28.86
arquitectura	14216	28.85
arroz	14215	28.85
establecido	14215	28.85
propiedades	14210	28.84
encontraron	14202	28.83
Revolución	14200	28.82
abandonar	14198	28.82
obligación	14197	28.82
duración	14195	28.81
seguimiento	14192	28.81
imaginar	14183	28.79
penal	14182	28.79
tasas	14180	28.78
conclusión	14178	28.78
pelota	14171	28.76
europea	14171	28.76
Frente	14165	28.75
aeropuerto	14164	28.75
fiestas	14164	28.75
dinámica	14156	28.73
federal	14156	28.73
transmisión	14155	28.73
corta	14154	28.73
activos	14152	28.72
salía	14152	28.72
platos	14151	28.72
autonomía	14151	28.72
cambió	14147	28.71
tratado	14145	28.71
enseguida	14144	28.71
dominio	14136	28.69
variables	14135	28.69
crea	14135	28.69
dirigida	14132	28.68
cultivo	14131	28.68
Comunidad	14127	28.67
eléctrica	14126	28.67
vicepresidente	14092	28.6
disciplina	14068	28.55
capacidades	14062	28.54
barco	14061	28.54
novia	14053	28.52
honor	14048	28.51
Laura	14028	28.47
tristeza	14025	28.47
iniciativas	14023	28.46
estabilidad	14014	28.44
maíz	14002	28.42
sección	13999	28.41
panorama	13999	28.41
diría	13992	28.4
roja	13990	28.4
ansiedad	13983	28.38
viviendo	13967	28.35
sufrir	13966	28.35
vital	13952	28.32
continente	13952	28.32
emoción	13944	28.3
cuyas	13941	28.3
financiero	13941	28.3
categorías	13940	28.29
cámaras	13939	28.29
Cuál	13936	28.29
hablan	13922	28.26
protagonistas	13916	28.25
Junta	13914	28.24
hiciera	13901	28.21
concurso	13896	28.2
Dentro	13891	28.19
Pese	13887	28.19
regular	13883	28.18
generalmente	13882	28.18
aprovechar	13874	28.16
consideró	13873	28.16
Defensa	13852	28.12
doña	13845	28.1
francesa	13827	28.06
bajos	13826	28.06
pendiente	13818	28.05
documental	13809	28.03
Podemos	13802	28.01
mantuvo	13801	28.01
puente	13800	28.01
Guerra	13799	28.01
descubierto	13794	28.0
aventura	13793	28.0
visitas	13788	27.99
docentes	13786	27.98
País	13785	27.98
cinta	13781	27.97
beso	13775	27.96
dimensiones	13775	27.96
presidenta	13772	27.95
venezolano	13765	27.94
oficio	13761	27.93
risa	13760	27.93
camisa	13760	27.93
financiera	13747	27.9
mantenimiento	13745	27.9
piedras	13737	27.88
cuarta	13735	27.88
Pública	13725	27.86
decidir	13722	27.85
activa	13719	27.85
permitirá	13718	27.84
dictadura	13717	27.84
Muchas	13713	27.83
hablado	13711	27.83
adolescente	13704	27.81
Eran	13703	27.81
déficit	13702	27.81
Ambos	13700	27.81
ceremonia	13695	27.8
rechazo	13692	27.79
Tu	13681	27.77
balón	13674	27.75
dirigente	13674	27.75
juega	13673	27.75
cariño	13665	27.74
tercero	13662	27.73
taller	13660	27.73
artística	13658	27.72
anuncio	13653	27.71
aves	13652	27.71
llaman	13650	27.71
fría	13644	27.69
exige	13626	27.66
satisfacción	13618	27.64
sentirse	13610	27.62
cancha	13610	27.62
ponía	13591	27.59
Algunas	13589	27.58
solar	13587	27.58
necesarias	13584	27.57
extensión	13581	27.57
puta	13576	27.55
climático	13572	27.55
corriendo	13563	27.53
LOS	13557	27.52
superiores	13552	27.51
procedimientos	13539	27.48
disponibles	13528	27.46
luna	13525	27.45
siguiendo	13523	27.45
Sol	13522	27.45
apoyar	13516	27.43
Aún	13504	27.41
bajas	13496	27.39
1996	13491	27.38
Jaime	13490	27.38
disminución	13489	27.38
entero	13475	27.35
numerosos	13473	27.35
novelas	13467	27.33
bolsillo	13466	27.33
complicado	13463	27.33
dato	13463	27.33
decían	13459	27.32
turistas	13451	27.3
correo	13444	27.29
estudiante	13444	27.29
avenida	13439	27.28
eficacia	13431	27.26
estarán	13423	27.24
sexuales	13406	27.21
moderna	13397	27.19
32	13394	27.19
eliminar	13393	27.18
expresa	13388	27.17
contratos	13387	27.17
lados	13387	27.17
Oscar	13387	27.17
cae	13384	27.17
composición	13384	27.17
festival	13384	27.17
lujo	13380	27.16
Será	13377	27.15
ciudadano	13376	27.15
investigador	13375	27.15
copa	13368	27.13
empezaron	13367	27.13
confirmó	13366	27.13
utilizando	13365	27.13
humo	13348	27.09
formal	13346	27.09
supuesto	13343	27.08
blancos	13338	27.07
atmósfera	13336	27.07
hipótesis	13310	27.01
privadas	13302	27.0
in	13295	26.98
pasillo	13293	26.98
diarios	13287	26.97
evaluar	13286	26.97
constituyen	13280	26.95
claridad	13279	26.95
tranquilo	13270	26.93
cerrado	13257	26.91
largas	13251	26.9
permiso	13241	26.87
expansión	13241	26.87
escenarios	13236	26.86
Actualmente	13235	26.86
ensayo	13235	26.86
rasgos	13230	26.85
organizado	13230	26.85
embarazo	13229	26.85
ronda	13228	26.85
Parque	13226	26.84
encuentros	13223	26.84
particularmente	13219	26.83
comenta	13217	26.83
vieron	13216	26.82
cuentos	13214	26.82
Sur	13211	26.81
g	13209	26.81
invitados	13209	26.81
antiguos	13204	26.8
diga	13204	26.8
inmigrantes	13198	26.79
Comercio	13197	26.79
entrenamiento	13192	26.78
puro	13191	26.77
privados	13186	26.76
inflación	13185	26.76
editorial	13179	26.75
difíciles	13177	26.74
ejecutivo	13177	26.74
asesinato	13175	26.74
órganos	13174	26.74
establecimiento	13166	26.72
idioma	13150	26.69
cerró	13142	26.67
hospitales	13140	26.67
terrible	13139	26.67
preparado	13134	26.66
ilusión	13124	26.64
básicos	13119	26.63
combate	13116	26.62
diputado	13116	26.62
vivos	13095	26.58
comprensión	13092	26.57
aumenta	13091	26.57
Día	13091	26.57
enemigo	13091	26.57
audiencia	13090	26.57
cambia	13087	26.56
vecino	13085	26.56
orgullo	13079	26.55
hielo	13077	26.54
M	13074	26.54
municipales	13074	26.54
acababa	13067	26.52
1990	13065	26.52
agrega	13057	26.5
postura	13056	26.5
señales	13052	26.49
detenido	13050	26.49
inteligente	13044	26.47
electrónico	13043	26.47
músicos	13037	26.46
revistas	13033	26.45
&	13032	26.45
hecha	13028	26.44
necesariamente	13025	26.44
correspondiente	13018	26.42
define	13018	26.42
profesión	13008	26.4
manifestaciones	13008	26.4
Facebook	12993	26.37
semejante	12992	26.37
estima	12983	26.35
mando	12982	26.35
oír	12982	26.35
parecían	12979	26.34
primaria	12975	26.33
Senado	12972	26.33
alimento	12970	26.32
metro	12967	26.32
400	12963	26.31
mantienen	12961	26.31
ambientales	12944	26.27
pensamientos	12933	26.25
Norte	12930	26.24
leído	12928	26.24
explotación	12923	26.23
salen	12922	26.23
igualmente	12921	26.23
suficientes	12918	26.22
Club	12916	26.22
fórmula	12910	26.2
Federal	12909	26.2
suave	12904	26.19
sucedido	12894	26.17
mapa	12893	26.17
fortuna	12888	26.16
difusión	12883	26.15
odio	12882	26.15
viva	12879	26.14
vergüenza	12878	26.14
levanta	12870	26.12
jugando	12869	26.12
contaminación	12868	26.12
romper	12862	26.11
eficiencia	12862	26.11
hoja	12847	26.07
1995	12844	26.07
religión	12844	26.07
sujetos	12841	26.06
Dr	12841	26.06
hombro	12839	26.06
argentina	12835	26.05
desarrolla	12834	26.05
dependencia	12833	26.05
dé	12827	26.03
gracia	12809	26.0
ochenta	12807	25.99
positiva	12804	25.99
Todavía	12793	25.97
frutas	12792	25.96
tratamientos	12790	25.96
presidencia	12789	25.96
parar	12789	25.96
acontecimientos	12785	25.95
argumento	12785	25.95
daban	12785	25.95
esperan	12752	25.88
letra	12745	25.87
rock	12736	25.85
frecuente	12731	25.84
residencia	12721	25.82
jueces	12721	25.82
George	12716	25.81
PIB	12711	25.8
Poco	12707	25.79
agricultura	12703	25.78
negociaciones	12702	25.78
150	12699	25.77
asiento	12689	25.75
ubicado	12684	25.74
concluyó	12679	25.73
Economía	12678	25.73
frases	12674	25.72
transición	12642	25.66
aporte	12639	25.65
habilidades	12637	25.65
ventajas	12636	25.65
verdes	12629	25.63
proporción	12624	25.62
EEUU	12622	25.62
malos	12607	25.59
femenino	12595	25.56
parejas	12592	25.56
formato	12591	25.56
temporal	12576	25.52
perfecta	12574	25.52
particulares	12574	25.52
éstas	12573	25.52
tendencias	12571	25.51
detuvo	12570	25.51
tiro	12569	25.51
DEL	12569	25.51
ofreció	12568	25.51
Vicente	12565	25.5
desafío	12561	25.49
digitales	12557	25.49
Sevilla	12556	25.48
identificación	12555	25.48
Nicolás	12554	25.48
cabello	12552	25.48
Rosa	12538	25.45
intentó	12538	25.45
fechas	12536	25.44
Gustavo	12529	25.43
gerente	12528	25.43
progreso	12521	25.41
César	12520	25.41
calma	12517	25.41
experto	12515	25.4
incluido	12511	25.39
continuidad	12500	25.37
Trabajo	12499	25.37
sufrido	12493	25.36
informes	12492	25.35
sustancias	12486	25.34
hagan	12477	25.32
pasaron	12473	25.32
setenta	12471	25.31
Quizás	12466	25.3
estética	12456	25.28
toneladas	12453	25.28
depresión	12447	25.26
esencia	12441	25.25
taza	12438	25.24
socialista	12432	25.23
preparar	12431	25.23
Señor	12428	25.22
legales	12427	25.22
largos	12407	25.18
demuestra	12403	25.17
apuesta	12400	25.17
Ángel	12393	25.15
sucedió	12392	25.15
Israel	12390	25.15
incluir	12386	25.14
d	12383	25.13
basada	12382	25.13
1994	12379	25.12
estrés	12378	25.12
colectiva	12368	25.1
usa	12363	25.09
Hacienda	12361	25.09
laborales	12354	25.07
deberán	12349	25.06
Caracas	12346	25.06
+	12343	25.05
aparecer	12342	25.05
Álvaro	12339	25.04
encuesta	12338	25.04
mueve	12325	25.02
2021	12323	25.01
cumple	12320	25.01
muertes	12319	25.0
chileno	12317	25.0
lanzamiento	12303	24.97
decenas	12301	24.97
británico	12292	24.95
ventanas	12291	24.95
horizonte	12291	24.95
b	12282	24.93
Derechos	12269	24.9
biblioteca	12254	24.87
probar	12252	24.87
incidencia	12248	24.86
debían	12247	24.86
provoca	12245	24.85
recomendaciones	12245	24.85
efectivo	12237	24.84
instancia	12230	24.82
obligado	12229	24.82
creó	12226	24.81
empresario	12223	24.81
haces	12223	24.81
Red	12220	24.8
prevenir	12217	24.8
tranquilidad	12203	24.77
Fiscalía	12202	24.77
debo	12201	24.76
piloto	12192	24.75
software	12192	24.75
oficinas	12183	24.73
hábitos	12182	24.72
cultivos	12180	24.72
policial	12174	24.71
sufrió	12173	24.71
territorios	12171	24.7
refleja	12168	24.7
and	12164	24.69
moderno	12159	24.68
conocen	12152	24.66
coordinación	12149	24.66
mesas	12145	24.65
costado	12141	24.64
entusiasmo	12136	24.63
consejo	12134	24.63
instalación	12129	24.62
Civil	12128	24.62
indicadores	12123	24.61
reciben	12119	24.6
recomienda	12116	24.59
círculo	12116	24.59
hacerle	12116	24.59
espectadores	12113	24.58
pura	12111	24.58
vigilancia	12108	24.57
Twitter	12105	24.57
dispositivo	12103	24.56
legislación	12099	24.56
enormes	12098	24.55
bosques	12097	24.55
espacial	12091	24.54
argumentos	12090	24.54
tiendas	12086	24.53
Canadá	12079	24.52
fama	12075	24.51
desempeño	12072	24.5
gris	12070	24.5
Fondo	12069	24.5
kilos	12065	24.49
Gabriel	12063	24.48
poderes	12046	24.45
Héctor	12045	24.45
llegue	12035	24.43
ricos	12014	24.38
artificial	12011	24.38
productor	12010	24.38
etapas	12009	24.37
respaldo	12003	24.36
escapar	12002	24.36
visual	12000	24.36
intenso	11996	24.35
salto	11994	24.34
diabetes	11987	24.33
cura	11986	24.33
lesiones	11983	24.32
descenso	11982	24.32
permitan	11974	24.3
previa	11966	24.29
totalidad	11964	24.28
contado	11963	24.28
paseo	11963	24.28
amenazas	11961	24.28
rueda	11960	24.27
guardia	11958	24.27
ganador	11954	24.26
socios	11951	24.26
raíces	11948	24.25
insistió	11934	24.22
quinto	11928	24.21
cubrir	11928	24.21
prima	11925	24.2
volvía	11915	24.18
duelo	11913	24.18
querían	11911	24.17
fuimos	11911	24.17
alerta	11910	24.17
huesos	11908	24.17
infección	11905	24.16
órgano	11900	24.15
fronteras	11899	24.15
implementación	11898	24.15
requieren	11896	24.14
relevante	11895	24.14
basado	11893	24.14
periódicos	11892	24.14
naciones	11891	24.13
Interior	11883	24.12
realizadas	11881	24.11
activo	11881	24.11
mandatario	11873	24.1
acaso	11871	24.09
dirigió	11866	24.08
León	11863	24.08
fiscales	11862	24.08
urbano	11852	24.06
hablamos	11848	24.05
deseos	11841	24.03
combinación	11840	24.03
mediodía	11838	24.03
Sánchez	11837	24.02
eficaz	11832	24.01
Medio	11831	24.01
iguales	11827	24.0
formado	11825	24.0
tesis	11824	24.0
podríamos	11821	23.99
cursos	11818	23.99
Servicio	11814	23.98
dices	11814	23.98
Derecho	11810	23.97
exclusivamente	11810	23.97
sienta	11806	23.96
existentes	11805	23.96
financiación	11801	23.95
hierro	11796	23.94
listo	11789	23.93
seco	11788	23.93
ONU	11771	23.89
rabia	11769	23.89
solidaridad	11767	23.88
cadáver	11765	23.88
grasa	11764	23.88
J	11761	23.87
esposo	11760	23.87
seguros	11758	23.86
carro	11752	23.85
toque	11751	23.85
baile	11744	23.84
destacan	11744	23.84
fundamentalmente	11743	23.83
Voy	11734	23.82
mínima	11732	23.81
definitivamente	11730	23.81
incertidumbre	11729	23.81
negativa	11727	23.8
increíble	11724	23.8
campeonato	11722	23.79
hijas	11721	23.79
continuó	11714	23.77
empresarial	11714	23.77
vivió	11713	23.77
conoció	11711	23.77
provincias	11710	23.77
basta	11709	23.76
crees	11708	23.76
levantar	11705	23.76
virtual	11699	23.74
aprobado	11694	23.73
artes	11693	23.73
regionales	11685	23.72
terrorismo	11685	23.72
adaptación	11680	23.71
señalado	11680	23.71
civiles	11677	23.7
docente	11676	23.7
Cristina	11673	23.69
relacionado	11672	23.69
tocó	11654	23.65
queso	11651	23.65
regalo	11649	23.64
brillante	11645	23.63
vacuna	11638	23.62
previo	11633	23.61
mandato	11633	23.61
Alfredo	11630	23.6
brasileño	11618	23.58
X	11611	23.57
Estás	11609	23.56
seguidores	11607	23.56
financiamiento	11607	23.56
Miami	11607	23.56
conozco	11596	23.54
lentamente	11595	23.53
certeza	11594	23.53
opiniones	11591	23.53
combatir	11584	23.51
gravedad	11575	23.49
cristal	11572	23.49
salas	11570	23.48
concepción	11564	23.47
esquema	11561	23.46
33	11554	23.45
pertenece	11552	23.45
ministra	11544	23.43
nervioso	11542	23.43
descubrió	11540	23.42
reina	11535	23.41
sensibilidad	11533	23.41
versiones	11533	23.41
discos	11533	23.41
ética	11533	23.41
dará	11527	23.4
desconocido	11526	23.39
entradas	11524	23.39
Luna	11523	23.39
estómago	11514	23.37
36	11512	23.36
celebrar	11512	23.36
consigo	11511	23.36
saca	11509	23.36
tragedia	11491	23.32
descubrimiento	11491	23.32
cercana	11489	23.32
Ayer	11488	23.32
conductor	11476	23.29
Nuestra	11460	23.26
Arturo	11459	23.26
dignidad	11454	23.25
solos	11453	23.25
heridas	11443	23.22
canales	11440	23.22
Villa	11432	23.2
Sara	11411	23.16
numerosas	11402	23.14
decide	11391	23.12
Ernesto	11386	23.11
anteriormente	11378	23.09
merece	11378	23.09
existía	11374	23.08
encontré	11372	23.08
elevado	11368	23.07
patrón	11368	23.07
California	11367	23.07
restaurantes	11366	23.07
preguntar	11364	23.06
tránsito	11360	23.06
máquinas	11359	23.05
móviles	11353	23.04
bajó	11341	23.02
verla	11341	23.02
liderazgo	11341	23.02
trae	11340	23.02
angustia	11339	23.01
facilitar	11331	23.0
sabido	11319	22.97
cantidades	11313	22.96
tribunal	11306	22.95
caído	11306	22.95
ciencias	11305	22.94
conclusiones	11304	22.94
abiertos	11303	22.94
pudieran	11298	22.93
Julia	11295	22.92
episodio	11292	22.92
pescado	11286	22.91
tarjeta	11285	22.9
relativamente	11278	22.89
indígena	11276	22.89
terror	11273	22.88
mentira	11259	22.85
propuso	11258	22.85
Investigación	11249	22.83
sencilla	11246	22.82
actuaciones	11231	22.79
enfermo	11230	22.79
delantero	11227	22.79
convocatoria	11226	22.78
espectador	11225	22.78
líquido	11225	22.78
Unidad	11220	22.77
académico	11210	22.75
caras	11206	22.74
pusieron	11202	22.74
Tomás	11202	22.74
Nuevo	11201	22.73
locura	11198	22.73
financieros	11196	22.72
fenómenos	11194	22.72
cola	11191	22.71
fortalecer	11185	22.7
etcétera	11184	22.7
terapia	11183	22.7
educativa	11183	22.7
precisión	11175	22.68
consenso	11175	22.68
Primera	11173	22.68
individuales	11172	22.67
km	11172	22.67
